log_id,user_id,activity_date,device_type,minutes_streamed,ad_clicks_avoided,signup_date,plan_type,payment_method,status,cancellation_date
LOG_100001,USR_0001,2025-01-01,TV,159,3,2025-01-01,Individual,Google Wallet,Canceled,2025-06-16
LOG_100002,USR_0001,2025-01-05,Mobile,16,1,2025-01-01,Individual,Google Wallet,Canceled,2025-06-16
LOG_100003,USR_0001,2025-01-09,Mobile,55,1,2025-01-01,Individual,Google Wallet,Canceled,2025-06-16
LOG_100004,USR_0001,2025-01-13,TV,12,2,2025-01-01,Individual,Google Wallet,Canceled,2025-06-16
LOG_100005,USR_0001,2025-01-17,Mobile,34,3,2025-01-01,Individual,Google Wallet,Canceled,2025-06-16
LOG_100006,USR_0001,2025-01-21,Mobile,36,2,2025-01-01,Individual,Google Wallet,Canceled,2025-06-16
LOG_100007,USR_0002,2025-01-01,Desktop,31,4,2025-01-01,Student,PayPal,Canceled,2025-02-07
LOG_100008,USR_0002,2025-01-05,Mobile,24,4,2025-01-01,Student,PayPal,Canceled,2025-02-07
LOG_100009,USR_0002,2025-01-09,Mobile,42,2,2025-01-01,Student,PayPal,Canceled,2025-02-07
LOG_100010,USR_0002,2025-01-13,Mobile,33,4,2025-01-01,Student,PayPal,Canceled,2025-02-07
LOG_100011,USR_0002,2025-01-17,TV,10,7,2025-01-01,Student,PayPal,Canceled,2025-02-07
LOG_100012,USR_0002,2025-01-21,Mobile,96,5,2025-01-01,Student,PayPal,Canceled,2025-02-07
LOG_100013,USR_0002,2025-01-25,Desktop,13,6,2025-01-01,Student,PayPal,Canceled,2025-02-07
LOG_100014,USR_0002,2025-01-29,Mobile,74,5,2025-01-01,Student,PayPal,Canceled,2025-02-07
LOG_100015,USR_0002,2025-02-02,Mobile,206,0,2025-01-01,Student,PayPal,Canceled,2025-02-07
LOG_100016,USR_0002,2025-02-06,Mobile,38,5,2025-01-01,Student,PayPal,Canceled,2025-02-07
LOG_100017,USR_0003,2025-01-01,Mobile,18,2,2025-01-01,Family,Google Wallet,Active,
LOG_100018,USR_0003,2025-01-05,Mobile,138,5,2025-01-01,Family,Google Wallet,Active,
LOG_100019,USR_0003,2025-01-09,TV,59,6,2025-01-01,Family,Google Wallet,Active,
LOG_100020,USR_0003,2025-01-13,Mobile,55,1,2025-01-01,Family,Google Wallet,Active,
LOG_100021,USR_0003,2025-01-17,Mobile,16,3,2025-01-01,Family,Google Wallet,Active,
LOG_100022,USR_0003,2025-01-21,Mobile,19,6,2025-01-01,Family,Google Wallet,Active,
LOG_100023,USR_0003,2025-01-25,Mobile,71,5,2025-01-01,Family,Google Wallet,Active,
LOG_100024,USR_0003,2025-01-29,Mobile,42,6,2025-01-01,Family,Google Wallet,Active,
LOG_100025,USR_0003,2025-02-02,Mobile,67,1,2025-01-01,Family,Google Wallet,Active,
LOG_100026,USR_0003,2025-02-06,Mobile,29,2,2025-01-01,Family,Google Wallet,Active,
LOG_100027,USR_0003,2025-02-10,Mobile,50,3,2025-01-01,Family,Google Wallet,Active,
LOG_100028,USR_0003,2025-02-14,Mobile,46,4,2025-01-01,Family,Google Wallet,Active,
LOG_100029,USR_0003,2025-02-18,TV,40,3,2025-01-01,Family,Google Wallet,Active,
LOG_100030,USR_0003,2025-02-22,Mobile,21,3,2025-01-01,Family,Google Wallet,Active,
LOG_100031,USR_0004,2025-01-02,Mobile,25,2,2025-01-02,Individual,Google Wallet,Canceled,2025-03-08
LOG_100032,USR_0004,2025-01-06,Mobile,45,3,2025-01-02,Individual,Google Wallet,Canceled,2025-03-08
LOG_100033,USR_0004,2025-01-10,Mobile,33,7,2025-01-02,Individual,Google Wallet,Canceled,2025-03-08
LOG_100034,USR_0004,2025-01-14,Mobile,15,6,2025-01-02,Individual,Google Wallet,Canceled,2025-03-08
LOG_100035,USR_0004,2025-01-18,TV,19,1,2025-01-02,Individual,Google Wallet,Canceled,2025-03-08
LOG_100036,USR_0004,2025-01-22,Mobile,30,3,2025-01-02,Individual,Google Wallet,Canceled,2025-03-08
LOG_100037,USR_0004,2025-01-26,Mobile,35,3,2025-01-02,Individual,Google Wallet,Canceled,2025-03-08
LOG_100038,USR_0004,2025-01-30,Mobile,40,7,2025-01-02,Individual,Google Wallet,Canceled,2025-03-08
LOG_100039,USR_0004,2025-02-03,Desktop,27,1,2025-01-02,Individual,Google Wallet,Canceled,2025-03-08
LOG_100040,USR_0004,2025-02-07,TV,77,2,2025-01-02,Individual,Google Wallet,Canceled,2025-03-08
LOG_100041,USR_0004,2025-02-11,Mobile,182,1,2025-01-02,Individual,Google Wallet,Canceled,2025-03-08
LOG_100042,USR_0004,2025-02-15,Mobile,65,0,2025-01-02,Individual,Google Wallet,Canceled,2025-03-08
LOG_100043,USR_0004,2025-02-19,TV,39,1,2025-01-02,Individual,Google Wallet,Canceled,2025-03-08
LOG_100044,USR_0005,2025-01-02,Mobile,130,5,2025-01-02,Individual,Credit Card,Active,
LOG_100045,USR_0005,2025-01-06,Mobile,7,3,2025-01-02,Individual,Credit Card,Active,
LOG_100046,USR_0005,2025-01-10,Mobile,43,4,2025-01-02,Individual,Credit Card,Active,
LOG_100047,USR_0005,2025-01-14,Mobile,78,2,2025-01-02,Individual,Credit Card,Active,
LOG_100048,USR_0005,2025-01-18,Mobile,34,4,2025-01-02,Individual,Credit Card,Active,
LOG_100049,USR_0005,2025-01-22,Mobile,32,2,2025-01-02,Individual,Credit Card,Active,
LOG_100050,USR_0005,2025-01-26,Desktop,56,1,2025-01-02,Individual,Credit Card,Active,
LOG_100051,USR_0005,2025-01-30,Mobile,28,4,2025-01-02,Individual,Credit Card,Active,
LOG_100052,USR_0005,2025-02-03,Mobile,29,3,2025-01-02,Individual,Credit Card,Active,
LOG_100053,USR_0006,2025-01-03,Mobile,16,2,2025-01-03,Individual,Credit Card,Canceled,2025-02-04
LOG_100054,USR_0006,2025-01-07,Mobile,30,6,2025-01-03,Individual,Credit Card,Canceled,2025-02-04
LOG_100055,USR_0007,2025-01-03,Mobile,14,2,2025-01-03,Individual,Google Wallet,Active,
LOG_100056,USR_0007,2025-01-07,Mobile,13,4,2025-01-03,Individual,Google Wallet,Active,
LOG_100057,USR_0007,2025-01-11,Desktop,16,7,2025-01-03,Individual,Google Wallet,Active,
LOG_100058,USR_0007,2025-01-15,TV,30,4,2025-01-03,Individual,Google Wallet,Active,
LOG_100059,USR_0007,2025-01-19,TV,30,4,2025-01-03,Individual,Google Wallet,Active,
LOG_100060,USR_0007,2025-01-23,Mobile,21,2,2025-01-03,Individual,Google Wallet,Active,
LOG_100061,USR_0007,2025-01-27,Mobile,5,7,2025-01-03,Individual,Google Wallet,Active,
LOG_100062,USR_0007,2025-01-31,Mobile,73,2,2025-01-03,Individual,Google Wallet,Active,
LOG_100063,USR_0007,2025-02-04,Mobile,53,3,2025-01-03,Individual,Google Wallet,Active,
LOG_100064,USR_0007,2025-02-08,Mobile,16,3,2025-01-03,Individual,Google Wallet,Active,
LOG_100065,USR_0007,2025-02-12,Mobile,29,3,2025-01-03,Individual,Google Wallet,Active,
LOG_100066,USR_0007,2025-02-16,Mobile,5,3,2025-01-03,Individual,Google Wallet,Active,
LOG_100067,USR_0007,2025-02-20,Mobile,86,2,2025-01-03,Individual,Google Wallet,Active,
LOG_100068,USR_0007,2025-02-24,Desktop,122,1,2025-01-03,Individual,Google Wallet,Active,
LOG_100069,USR_0007,2025-02-28,Mobile,43,1,2025-01-03,Individual,Google Wallet,Active,
LOG_100070,USR_0007,2025-03-04,Mobile,5,2,2025-01-03,Individual,Google Wallet,Active,
LOG_100071,USR_0008,2025-01-03,Mobile,42,0,2025-01-03,Family,Credit Card,Canceled,2025-04-12
LOG_100072,USR_0008,2025-01-07,Mobile,39,3,2025-01-03,Family,Credit Card,Canceled,2025-04-12
LOG_100073,USR_0008,2025-01-11,Mobile,9,2,2025-01-03,Family,Credit Card,Canceled,2025-04-12
LOG_100074,USR_0008,2025-01-15,Mobile,18,1,2025-01-03,Family,Credit Card,Canceled,2025-04-12
LOG_100075,USR_0008,2025-01-19,Mobile,7,3,2025-01-03,Family,Credit Card,Canceled,2025-04-12
LOG_100076,USR_0008,2025-01-23,TV,97,5,2025-01-03,Family,Credit Card,Canceled,2025-04-12
LOG_100077,USR_0008,2025-01-27,Mobile,20,5,2025-01-03,Family,Credit Card,Canceled,2025-04-12
LOG_100078,USR_0008,2025-01-31,Mobile,84,3,2025-01-03,Family,Credit Card,Canceled,2025-04-12
LOG_100079,USR_0008,2025-02-04,Desktop,24,2,2025-01-03,Family,Credit Card,Canceled,2025-04-12
LOG_100080,USR_0008,2025-02-08,Mobile,51,4,2025-01-03,Family,Credit Card,Canceled,2025-04-12
LOG_100081,USR_0008,2025-02-12,Mobile,53,1,2025-01-03,Family,Credit Card,Canceled,2025-04-12
LOG_100082,USR_0008,2025-02-16,Mobile,211,0,2025-01-03,Family,Credit Card,Canceled,2025-04-12
LOG_100083,USR_0008,2025-02-20,Mobile,36,1,2025-01-03,Family,Credit Card,Canceled,2025-04-12
LOG_100084,USR_0009,2025-01-04,Mobile,95,3,2025-01-04,Individual,PayPal,Canceled,2025-07-01
LOG_100085,USR_0009,2025-01-08,Mobile,23,6,2025-01-04,Individual,PayPal,Canceled,2025-07-01
LOG_100086,USR_0009,2025-01-12,TV,5,1,2025-01-04,Individual,PayPal,Canceled,2025-07-01
LOG_100087,USR_0009,2025-01-16,Desktop,222,2,2025-01-04,Individual,PayPal,Canceled,2025-07-01
LOG_100088,USR_0010,2025-01-04,Mobile,37,1,2025-01-04,Family,PayPal,Canceled,2025-03-02
LOG_100089,USR_0010,2025-01-08,Mobile,154,1,2025-01-04,Family,PayPal,Canceled,2025-03-02
LOG_100090,USR_0010,2025-01-12,Desktop,134,1,2025-01-04,Family,PayPal,Canceled,2025-03-02
LOG_100091,USR_0011,2025-01-05,Mobile,19,3,2025-01-05,Individual,Credit Card,Canceled,2025-03-29
LOG_100092,USR_0011,2025-01-09,Mobile,66,1,2025-01-05,Individual,Credit Card,Canceled,2025-03-29
LOG_100093,USR_0011,2025-01-13,Mobile,46,1,2025-01-05,Individual,Credit Card,Canceled,2025-03-29
LOG_100094,USR_0011,2025-01-17,TV,23,4,2025-01-05,Individual,Credit Card,Canceled,2025-03-29
LOG_100095,USR_0011,2025-01-21,Mobile,18,0,2025-01-05,Individual,Credit Card,Canceled,2025-03-29
LOG_100096,USR_0011,2025-01-25,Mobile,30,2,2025-01-05,Individual,Credit Card,Canceled,2025-03-29
LOG_100097,USR_0011,2025-01-29,TV,156,1,2025-01-05,Individual,Credit Card,Canceled,2025-03-29
LOG_100098,USR_0012,2025-01-05,Mobile,6,3,2025-01-05,Student,PayPal,Active,
LOG_100099,USR_0012,2025-01-09,TV,94,6,2025-01-05,Student,PayPal,Active,
LOG_100100,USR_0012,2025-01-13,Mobile,86,4,2025-01-05,Student,PayPal,Active,
LOG_100101,USR_0012,2025-01-17,Desktop,22,2,2025-01-05,Student,PayPal,Active,
LOG_100102,USR_0012,2025-01-21,TV,109,2,2025-01-05,Student,PayPal,Active,
LOG_100103,USR_0012,2025-01-25,TV,121,4,2025-01-05,Student,PayPal,Active,
LOG_100104,USR_0012,2025-01-29,Mobile,20,1,2025-01-05,Student,PayPal,Active,
LOG_100105,USR_0012,2025-02-02,Mobile,41,1,2025-01-05,Student,PayPal,Active,
LOG_100106,USR_0012,2025-02-06,TV,106,7,2025-01-05,Student,PayPal,Active,
LOG_100107,USR_0012,2025-02-10,Mobile,34,1,2025-01-05,Student,PayPal,Active,
LOG_100108,USR_0012,2025-02-14,TV,174,1,2025-01-05,Student,PayPal,Active,
LOG_100109,USR_0012,2025-02-18,Mobile,104,3,2025-01-05,Student,PayPal,Active,
LOG_100110,USR_0012,2025-02-22,Mobile,93,5,2025-01-05,Student,PayPal,Active,
LOG_100111,USR_0012,2025-02-26,Mobile,18,3,2025-01-05,Student,PayPal,Active,
LOG_100112,USR_0012,2025-03-02,TV,55,4,2025-01-05,Student,PayPal,Active,
LOG_100113,USR_0012,2025-03-06,Mobile,41,2,2025-01-05,Student,PayPal,Active,
LOG_100114,USR_0012,2025-03-10,Mobile,71,4,2025-01-05,Student,PayPal,Active,
LOG_100115,USR_0012,2025-03-14,Mobile,20,4,2025-01-05,Student,PayPal,Active,
LOG_100116,USR_0012,2025-03-18,TV,12,4,2025-01-05,Student,PayPal,Active,
LOG_100117,USR_0012,2025-03-22,Desktop,260,9,2025-01-05,Student,PayPal,Active,
LOG_100118,USR_0012,2025-03-26,Desktop,49,4,2025-01-05,Student,PayPal,Active,
LOG_100119,USR_0012,2025-03-30,TV,22,4,2025-01-05,Student,PayPal,Active,
LOG_100120,USR_0012,2025-04-03,Mobile,7,2,2025-01-05,Student,PayPal,Active,
LOG_100121,USR_0012,2025-04-07,Desktop,97,2,2025-01-05,Student,PayPal,Active,
LOG_100122,USR_0012,2025-04-11,Mobile,48,3,2025-01-05,Student,PayPal,Active,
LOG_100123,USR_0012,2025-04-15,TV,11,1,2025-01-05,Student,PayPal,Active,
LOG_100124,USR_0012,2025-04-19,Mobile,38,2,2025-01-05,Student,PayPal,Active,
LOG_100125,USR_0012,2025-04-23,Mobile,55,0,2025-01-05,Student,PayPal,Active,
LOG_100126,USR_0012,2025-04-27,Mobile,58,1,2025-01-05,Student,PayPal,Active,
LOG_100127,USR_0013,2025-01-06,Mobile,10,2,2025-01-06,Family,Credit Card,Active,
LOG_100128,USR_0013,2025-01-10,TV,45,1,2025-01-06,Family,Credit Card,Active,
LOG_100129,USR_0013,2025-01-14,Desktop,41,4,2025-01-06,Family,Credit Card,Active,
LOG_100130,USR_0013,2025-01-18,Mobile,36,3,2025-01-06,Family,Credit Card,Active,
LOG_100131,USR_0013,2025-01-22,Mobile,21,2,2025-01-06,Family,Credit Card,Active,
LOG_100132,USR_0013,2025-01-26,Desktop,22,4,2025-01-06,Family,Credit Card,Active,
LOG_100133,USR_0013,2025-01-30,Desktop,5,4,2025-01-06,Family,Credit Card,Active,
LOG_100134,USR_0013,2025-02-03,Desktop,5,2,2025-01-06,Family,Credit Card,Active,
LOG_100135,USR_0013,2025-02-07,Mobile,6,1,2025-01-06,Family,Credit Card,Active,
LOG_100136,USR_0013,2025-02-11,Mobile,32,4,2025-01-06,Family,Credit Card,Active,
LOG_100137,USR_0014,2025-01-06,Mobile,36,1,2025-01-06,Individual,Google Wallet,Active,
LOG_100138,USR_0014,2025-01-10,Desktop,33,1,2025-01-06,Individual,Google Wallet,Active,
LOG_100139,USR_0014,2025-01-14,Mobile,95,2,2025-01-06,Individual,Google Wallet,Active,
LOG_100140,USR_0014,2025-01-18,Mobile,5,6,2025-01-06,Individual,Google Wallet,Active,
LOG_100141,USR_0014,2025-01-22,Mobile,5,2,2025-01-06,Individual,Google Wallet,Active,
LOG_100142,USR_0014,2025-01-26,Mobile,26,4,2025-01-06,Individual,Google Wallet,Active,
LOG_100143,USR_0014,2025-01-30,Mobile,5,0,2025-01-06,Individual,Google Wallet,Active,
LOG_100144,USR_0014,2025-02-03,Mobile,38,3,2025-01-06,Individual,Google Wallet,Active,
LOG_100145,USR_0014,2025-02-07,Desktop,72,5,2025-01-06,Individual,Google Wallet,Active,
LOG_100146,USR_0014,2025-02-11,Mobile,32,6,2025-01-06,Individual,Google Wallet,Active,
LOG_100147,USR_0014,2025-02-15,TV,63,0,2025-01-06,Individual,Google Wallet,Active,
LOG_100148,USR_0014,2025-02-19,Desktop,9,2,2025-01-06,Individual,Google Wallet,Active,
LOG_100149,USR_0014,2025-02-23,Mobile,23,4,2025-01-06,Individual,Google Wallet,Active,
LOG_100150,USR_0014,2025-02-27,Desktop,6,4,2025-01-06,Individual,Google Wallet,Active,
LOG_100151,USR_0014,2025-03-03,Mobile,7,3,2025-01-06,Individual,Google Wallet,Active,
LOG_100152,USR_0014,2025-03-07,Mobile,73,4,2025-01-06,Individual,Google Wallet,Active,
LOG_100153,USR_0014,2025-03-11,TV,151,5,2025-01-06,Individual,Google Wallet,Active,
LOG_100154,USR_0014,2025-03-15,Mobile,79,3,2025-01-06,Individual,Google Wallet,Active,
LOG_100155,USR_0014,2025-03-19,Mobile,13,7,2025-01-06,Individual,Google Wallet,Active,
LOG_100156,USR_0015,2025-01-06,TV,27,1,2025-01-06,Individual,Google Wallet,Active,
LOG_100157,USR_0015,2025-01-10,Desktop,100,4,2025-01-06,Individual,Google Wallet,Active,
LOG_100158,USR_0015,2025-01-14,Mobile,29,3,2025-01-06,Individual,Google Wallet,Active,
LOG_100159,USR_0015,2025-01-18,Mobile,41,3,2025-01-06,Individual,Google Wallet,Active,
LOG_100160,USR_0015,2025-01-22,Mobile,73,4,2025-01-06,Individual,Google Wallet,Active,
LOG_100161,USR_0015,2025-01-26,TV,47,2,2025-01-06,Individual,Google Wallet,Active,
LOG_100162,USR_0015,2025-01-30,Mobile,46,2,2025-01-06,Individual,Google Wallet,Active,
LOG_100163,USR_0015,2025-02-03,Mobile,20,1,2025-01-06,Individual,Google Wallet,Active,
LOG_100164,USR_0015,2025-02-07,Mobile,132,2,2025-01-06,Individual,Google Wallet,Active,
LOG_100165,USR_0015,2025-02-11,Mobile,40,3,2025-01-06,Individual,Google Wallet,Active,
LOG_100166,USR_0015,2025-02-15,Mobile,94,7,2025-01-06,Individual,Google Wallet,Active,
LOG_100167,USR_0015,2025-02-19,Mobile,19,1,2025-01-06,Individual,Google Wallet,Active,
LOG_100168,USR_0015,2025-02-23,Mobile,41,3,2025-01-06,Individual,Google Wallet,Active,
LOG_100169,USR_0015,2025-02-27,Mobile,13,2,2025-01-06,Individual,Google Wallet,Active,
LOG_100170,USR_0015,2025-03-03,Mobile,80,0,2025-01-06,Individual,Google Wallet,Active,
LOG_100171,USR_0015,2025-03-07,Mobile,54,2,2025-01-06,Individual,Google Wallet,Active,
LOG_100172,USR_0015,2025-03-11,Mobile,102,7,2025-01-06,Individual,Google Wallet,Active,
LOG_100173,USR_0015,2025-03-15,Desktop,7,3,2025-01-06,Individual,Google Wallet,Active,
LOG_100174,USR_0015,2025-03-19,Mobile,93,4,2025-01-06,Individual,Google Wallet,Active,
LOG_100175,USR_0015,2025-03-23,Mobile,28,4,2025-01-06,Individual,Google Wallet,Active,
LOG_100176,USR_0015,2025-03-27,TV,70,3,2025-01-06,Individual,Google Wallet,Active,
LOG_100177,USR_0015,2025-03-31,TV,63,3,2025-01-06,Individual,Google Wallet,Active,
LOG_100178,USR_0015,2025-04-04,Mobile,51,3,2025-01-06,Individual,Google Wallet,Active,
LOG_100179,USR_0015,2025-04-08,Mobile,73,5,2025-01-06,Individual,Google Wallet,Active,
LOG_100180,USR_0015,2025-04-12,Desktop,26,1,2025-01-06,Individual,Google Wallet,Active,
LOG_100181,USR_0015,2025-04-16,Mobile,10,4,2025-01-06,Individual,Google Wallet,Active,
LOG_100182,USR_0015,2025-04-20,Desktop,92,5,2025-01-06,Individual,Google Wallet,Active,
LOG_100183,USR_0015,2025-04-24,Mobile,51,2,2025-01-06,Individual,Google Wallet,Active,
LOG_100184,USR_0015,2025-04-28,TV,93,2,2025-01-06,Individual,Google Wallet,Active,
LOG_100185,USR_0016,2025-01-07,TV,80,3,2025-01-07,Individual,PayPal,Active,
LOG_100186,USR_0016,2025-01-11,TV,65,3,2025-01-07,Individual,PayPal,Active,
LOG_100187,USR_0016,2025-01-15,Mobile,61,3,2025-01-07,Individual,PayPal,Active,
LOG_100188,USR_0016,2025-01-19,TV,40,3,2025-01-07,Individual,PayPal,Active,
LOG_100189,USR_0016,2025-01-23,Mobile,84,4,2025-01-07,Individual,PayPal,Active,
LOG_100190,USR_0016,2025-01-27,TV,25,3,2025-01-07,Individual,PayPal,Active,
LOG_100191,USR_0016,2025-01-31,Desktop,7,4,2025-01-07,Individual,PayPal,Active,
