user_id,signup_date,plan_type,payment_method,status,cancellation_date
USR_0001,2025-01-01,Individual,Google Wallet,Canceled,2025-06-16
USR_0002,2025-01-01,Student,PayPal,Canceled,2025-02-07
USR_0003,2025-01-01,Family,Google Wallet,Active,
USR_0004,2025-01-02,Individual,Google Wallet,Canceled,2025-03-08
USR_0005,2025-01-02,Individual,Credit Card,Active,
USR_0006,2025-01-03,Individual,Credit Card,Canceled,2025-02-04
USR_0007,2025-01-03,Individual,Google Wallet,Active,
USR_0008,2025-01-03,Family,Credit Card,Canceled,2025-04-12
USR_0009,2025-01-04,Individual,PayPal,Canceled,2025-07-01
USR_0010,2025-01-04,Family,PayPal,Canceled,2025-03-02
USR_0011,2025-01-05,Individual,Credit Card,Canceled,2025-03-29
USR_0012,2025-01-05,Student,PayPal,Active,
USR_0013,2025-01-06,Family,Credit Card,Active,
USR_0014,2025-01-06,Individual,Google Wallet,Active,
USR_0015,2025-01-06,Individual,Google Wallet,Active,
USR_0016,2025-01-07,Individual,PayPal,Active,
USR_0017,2025-01-07,Individual,Credit Card,Active,
USR_0018,2025-01-08,Individual,Credit Card,Canceled,2025-06-04
USR_0019,2025-01-08,Individual,PayPal,Active,
USR_0020,2025-01-09,Individual,Google Wallet,Canceled,2025-06-25
USR_0021,2025-01-09,Individual,PayPal,Active,
USR_0022,2025-01-09,Individual,Google Wallet,Canceled,2025-03-23
USR_0023,2025-01-10,Individual,Credit Card,Canceled,2025-03-27
USR_0024,2025-01-10,Individual,Google Wallet,Active,
USR_0025,2025-01-11,Individual,PayPal,Active,
USR_0026,2025-01-11,Family,Credit Card,Canceled,2025-03-27
USR_0027,2025-01-12,Individual,PayPal,Active,
USR_0028,2025-01-12,Individual,PayPal,Active,
USR_0029,2025-01-12,Individual,Google Wallet,Active,
USR_0030,2025-01-13,Individual,PayPal,Active,
USR_0031,2025-01-13,Individual,Google Wallet,Active,
USR_0032,2025-01-14,Individual,Credit Card,Active,
USR_0033,2025-01-14,Individual,Google Wallet,Active,
USR_0034,2025-01-15,Student,Credit Card,Active,
USR_0035,2025-01-15,Student,Google Wallet,Canceled,2025-06-24
USR_0036,2025-01-15,Family,PayPal,Active,
USR_0037,2025-01-16,Individual,Google Wallet,Canceled,2025-05-27
USR_0038,2025-01-16,Individual,Google Wallet,Active,
USR_0039,2025-01-17,Individual,Credit Card,Active,
USR_0040,2025-01-17,Individual,PayPal,Active,
USR_0041,2025-01-17,Individual,Google Wallet,Active,
USR_0042,2025-01-18,Individual,PayPal,Active,
USR_0043,2025-01-18,Individual,Google Wallet,Active,
USR_0044,2025-01-19,Student,Google Wallet,Active,
USR_0045,2025-01-19,Individual,PayPal,Active,
USR_0046,2025-01-20,Individual,Google Wallet,Active,
USR_0047,2025-01-20,Individual,PayPal,Active,
USR_0048,2025-01-20,Individual,Google Wallet,Active,
USR_0049,2025-01-21,Individual,Credit Card,Canceled,2025-06-03
USR_0050,2025-01-21,indivual_typo,PayPal,Active,
USR_0051,2025-01-22,Student,Google Wallet,Active,
USR_0052,2025-01-22,Family,Google Wallet,Canceled,2025-07-04
USR_0053,2025-01-23,Student,Credit Card,Active,
USR_0054,2025-01-23,Family,PayPal,Active,
USR_0055,2025-01-23,Individual,Google Wallet,Canceled,2025-04-17
USR_0056,2025-01-24,Student,Credit Card,Active,
USR_0057,2025-01-24,Individual,Google Wallet,Active,
USR_0058,2025-01-25,Individual,PayPal,Active,
USR_0059,2025-01-25,Individual,Google Wallet,Active,
USR_0060,2025-01-26,Individual,Google Wallet,Active,
USR_0061,2025-01-26,Individual,Google Wallet,Active,
USR_0062,2025-01-26,Individual,Google Wallet,Active,
USR_0063,2025-01-27,Family,Credit Card,Active,
USR_0064,2025-01-27,Individual,Credit Card,Canceled,2025-06-16
USR_0065,2025-01-28,Individual,PayPal,Canceled,2025-04-18
USR_0066,2025-01-28,Individual,Credit Card,Active,
USR_0067,2025-01-29,Individual,Credit Card,Active,
USR_0068,2025-01-29,Family,PayPal,Active,
USR_0069,2025-01-29,Individual,Credit Card,Active,
USR_0070,2025-01-30,Student,Credit Card,Active,
USR_0071,2025-01-30,Family,PayPal,Active,
USR_0072,2025-01-31,Individual,PayPal,Canceled,2025-06-07
USR_0073,2025-01-31,Individual,PayPal,Active,
USR_0074,2025-01-31,Family,Google Wallet,Active,
USR_0075,2025-02-01,Family,Google Wallet,Active,
USR_0076,2025-02-01,Family,PayPal,Active,
USR_0077,2025-02-02,Family,PayPal,Canceled,2025-06-15
USR_0078,2025-02-02,Individual,PayPal,Active,
USR_0079,2025-02-03,Individual,Google Wallet,Canceled,2025-07-01
USR_0080,2025-02-03,Individual,Google Wallet,Active,
USR_0081,2025-02-03,Family,Credit Card,Active,
USR_0082,2025-02-04,Individual,Credit Card,Active,
USR_0083,2025-02-04,Individual,PayPal,Active,
USR_0084,2025-02-05,indivual_typo,Google Wallet,Active,
USR_0085,2025-02-05,Individual,Google Wallet,Canceled,2025-04-07
USR_0086,2025-02-06,Individual,Google Wallet,Active,
USR_0087,2025-02-06,Family,PayPal,Active,
USR_0088,2025-02-06,Individual,Credit Card,Active,
USR_0089,2025-02-07,Family,PayPal,Active,
USR_0090,2025-02-07,Individual,Credit Card,Active,
USR_0091,2025-02-08,Individual,Credit Card,Canceled,2025-06-23
USR_0092,2025-02-08,Family,PayPal,Canceled,2025-04-04
USR_0093,2025-02-09,Family,Credit Card,Canceled,2025-04-04
USR_0094,2025-02-09,Individual,Credit Card,Active,
USR_0095,2025-02-09,Family,Google Wallet,Active,
USR_0096,2025-02-10,Individual,Credit Card,Active,
USR_0097,2025-02-10,Individual,PayPal,Active,
USR_0098,2025-02-11,Individual,PayPal,Canceled,2025-06-24
USR_0099,2025-02-11,Individual,Credit Card,Active,
USR_0100,2025-02-12,Individual,Google Wallet,Active,
USR_0101,2025-02-12,Individual,Google Wallet,Active,
USR_0102,2025-02-12,Individual,Credit Card,Active,
USR_0103,2025-02-13,Individual,Credit Card,Active,
USR_0104,2025-02-13,Individual,PayPal,Active,
USR_0105,2025-02-14,Student,Credit Card,Active,
USR_0106,2025-02-14,Individual,Google Wallet,Active,
USR_0107,2025-02-14,Individual,Credit Card,Active,
USR_0108,2025-02-15,Family,PayPal,Canceled,2025-07-08
USR_0109,2025-02-15,Individual,PayPal,Canceled,2025-03-21
USR_0110,2025-02-16,Individual,PayPal,Canceled,2025-06-09
USR_0111,2025-02-16,Individual,PayPal,Canceled,2025-05-08
USR_0112,2025-02-17,Individual,PayPal,Active,
USR_0113,2025-02-17,Student,Credit Card,Active,
USR_0114,2025-02-17,Family,Credit Card,Active,
USR_0115,2025-02-18,Individual,Credit Card,Active,
USR_0116,2025-02-18,Family,Credit Card,Canceled,2025-07-19
USR_0117,2025-02-19,Family,PayPal,Active,
USR_0118,2025-02-19,Individual,Google Wallet,Canceled,2025-05-05
USR_0119,2025-02-20,Family,Credit Card,Active,
USR_0120,2025-02-20,Individual,Google Wallet,Active,
USR_0121,2025-02-20,Family,Credit Card,Active,
USR_0122,2025-02-21,Family,Credit Card,Canceled,2025-06-16
USR_0123,2025-02-21,Individual,Google Wallet,Active,
USR_0124,2025-02-22,Individual,PayPal,Active,
USR_0125,2025-02-22,Individual,Credit Card,Active,
USR_0126,2025-02-23,Individual,Credit Card,Active,
USR_0127,2025-02-23,Family,Credit Card,Active,
USR_0128,2025-02-23,Family,Google Wallet,Active,
USR_0129,2025-02-24,Individual,PayPal,Active,
USR_0130,2025-02-24,Individual,Google Wallet,Active,
USR_0131,2025-02-25,Individual,Google Wallet,Active,
USR_0132,2025-02-25,Individual,PayPal,Active,
